timestamp	Placeholder1	Placeholder2	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Landmark	Placeholder	X	Y	Z	Placeholder	Placeholder	Placeholder	Placeholder	UnityStreamerTimestamp	BufferTimestamp	RenderedTimestamp
20	0	0	4	55	-89.751	-14.648	2.682	0	0	0	0	5	55	-80.65	-37.724	12.573	0	0	0	0	6	55	-82.497	-26.872	7.476	0	0	0	0	7	55	-86.942	-29.612	-4.428	0	0	0	0	8	55	-80.652	-52.55	19.002	0	0	0	0	9	55	-158.342	-14.37	7.737	0	0	0	0	10	55	-82.125	2.97	1.843	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079724	62079734	0
21	0	0	4	55	-90.102	-14.339	3.549	0	0	0	0	5	55	-81.124	-37.244	12.615	0	0	0	0	6	55	-83.495	-26.91	9.122	0	0	0	0	7	55	-88.281	-30.231	-5.517	0	0	0	0	8	55	-80.925	-52.282	18.997	0	0	0	0	9	55	-158.196	-13.941	7.749	0	0	0	0	10	55	-82.006	3.216	1.834	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079724	62079734	62079734
29	0	0	4	55	-90.102	-14.339	3.549	0	0	0	0	5	55	-81.124	-37.244	12.615	0	0	0	0	6	55	-83.495	-26.91	9.122	0	0	0	0	7	55	-88.281	-30.231	-5.517	0	0	0	0	8	55	-80.925	-52.282	18.997	0	0	0	0	9	55	-158.196	-13.941	7.749	0	0	0	0	10	55	-82.006	3.216	1.834	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079733	62079742	62079742
46	0	0	4	55	-90.007	-13.893	2.442	0	0	0	0	5	55	-81.061	-37.343	12.801	0	0	0	0	6	55	-81.889	-26.502	5.618	0	0	0	0	7	55	-87.218	-29.398	-5.215	0	0	0	0	8	55	-80.806	-52.129	19.202	0	0	0	0	9	55	-158.102	-13.762	7.877	0	0	0	0	10	55	-81.941	3.333	1.816	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079750	62079759	0
46	0	0	4	55	-90.007	-13.893	2.442	0	0	0	0	5	55	-81.061	-37.343	12.801	0	0	0	0	6	55	-81.889	-26.502	5.618	0	0	0	0	7	55	-87.218	-29.398	-5.215	0	0	0	0	8	55	-80.806	-52.129	19.202	0	0	0	0	9	55	-158.102	-13.762	7.877	0	0	0	0	10	55	-81.941	3.333	1.816	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079750	62079759	62079759
62	0	0	4	55	-90.278	-13.156	2.572	0	0	0	0	5	55	-80.797	-36.521	12.91	0	0	0	0	6	55	-82.844	-25.461	6.906	0	0	0	0	7	55	-87.169	-28.541	-4.904	0	0	0	0	8	55	-80.778	-51.793	19.521	0	0	0	0	9	55	-158.107	-13.231	8.089	0	0	0	0	10	55	-81.773	3.765	1.933	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079766	62079775	62079775
79	0	0	4	55	-90.46	-12.976	2.529	0	0	0	0	5	55	-81.038	-36.528	12.624	0	0	0	0	6	55	-82.947	-25.543	7.306	0	0	0	0	7	55	-87.477	-29.045	-4.775	0	0	0	0	8	55	-80.48	-51.845	19.346	0	0	0	0	9	55	-158.181	-13.282	8.14	0	0	0	0	10	55	-81.72	3.843	1.97	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079782	62079792	0
79	0	0	4	55	-90.46	-12.976	2.529	0	0	0	0	5	55	-81.038	-36.528	12.624	0	0	0	0	6	55	-82.947	-25.543	7.306	0	0	0	0	7	55	-87.477	-29.045	-4.775	0	0	0	0	8	55	-80.48	-51.845	19.346	0	0	0	0	9	55	-158.181	-13.282	8.14	0	0	0	0	10	55	-81.72	3.843	1.97	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079783	62079792	62079792
96	0	0	4	55	-90.312	-12.601	2.77	0	0	0	0	5	55	-80.309	-36.186	12.709	0	0	0	0	6	55	-83.222	-24.803	7.686	0	0	0	0	7	55	-87.143	-28.206	-4.855	0	0	0	0	8	55	-80.82	-51.176	19.544	0	0	0	0	9	55	-158.489	-12.668	8.709	0	0	0	0	10	55	-81.585	4.123	2.098	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079799	62079809	0
96	0	0	4	55	-90.312	-12.601	2.77	0	0	0	0	5	55	-80.309	-36.186	12.709	0	0	0	0	6	55	-83.222	-24.803	7.686	0	0	0	0	7	55	-87.143	-28.206	-4.855	0	0	0	0	8	55	-80.82	-51.176	19.544	0	0	0	0	9	55	-158.489	-12.668	8.709	0	0	0	0	10	55	-81.585	4.123	2.098	0	0	0	0	1	0	-76.934	-10.126	0.035	5	5	5	1	2	0	-76.934	-10.126	0.035	5	5	5	1	0	0	-81.547	4.508	2.263	0	0	0	0	62079800	62079809	62079809
