timestamp	Placeholder1	Placeholder2	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Landmark	Placeholder	X	Y	Z	Placeholder	Placeholder	Placeholder	Placeholder	UnityStreamerTimestamp	BufferTimestamp	RenderedTimestamp
20	0	0	4	55	-72.192	-16.85	0.399	0	0	0	0	5	55	-66.076	-32.507	5.238	0	0	0	0	6	55	-68.824	-23.717	9.225	0	0	0	0	7	55	-74.17	-24.253	-5.218	0	0	0	0	8	55	-64.869	-40.483	3.69	0	0	0	0	9	55	-123.337	-0.701	3.261	0	0	0	0	10	55	5.373646E+27	-3.882435E+28	-5.064418E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963829	72963839	0
21	0	0	4	55	-72.192	-16.85	0.399	0	0	0	0	5	55	-66.076	-32.507	5.238	0	0	0	0	6	55	-68.824	-23.717	9.225	0	0	0	0	7	55	-74.17	-24.253	-5.218	0	0	0	0	8	55	-64.869	-40.483	3.69	0	0	0	0	9	55	-123.337	-0.701	3.261	0	0	0	0	10	55	5.373641E+27	-3.882435E+28	-5.064418E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963830	72963839	0
21	0	0	4	55	-72.192	-16.85	0.399	0	0	0	0	5	55	-66.076	-32.507	5.238	0	0	0	0	6	55	-68.824	-23.717	9.225	0	0	0	0	7	55	-74.17	-24.253	-5.218	0	0	0	0	8	55	-64.87	-40.483	3.69	0	0	0	0	9	55	-123.337	-0.701	3.261	0	0	0	0	10	55	5.373637E+27	-3.882435E+28	-5.064418E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963830	72963839	72963839
30	0	0	4	55	-72.192	-16.85	0.399	0	0	0	0	5	55	-66.076	-32.507	5.238	0	0	0	0	6	55	-68.824	-23.717	9.225	0	0	0	0	7	55	-74.17	-24.253	-5.218	0	0	0	0	8	55	-64.87	-40.483	3.69	0	0	0	0	9	55	-123.337	-0.701	3.261	0	0	0	0	10	55	5.37364E+27	-3.882435E+28	-5.064418E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963839	72963848	72963848
47	0	0	4	55	-72.678	-17.14	0.416	0	0	0	0	5	55	-66.147	-31.809	5.9	0	0	0	0	6	55	-68.808	-23.882	10.053	0	0	0	0	7	55	-74.32	-24.266	-6.093	0	0	0	0	8	55	-65.045	-39.977	3.76	0	0	0	0	9	55	-123.179	-0.301	2.882	0	0	0	0	10	55	5.255483E+27	-3.902773E+28	-5.050005E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963856	72963865	0
47	0	0	4	55	-72.678	-17.14	0.416	0	0	0	0	5	55	-66.147	-31.809	5.9	0	0	0	0	6	55	-68.808	-23.882	10.053	0	0	0	0	7	55	-74.32	-24.266	-6.093	0	0	0	0	8	55	-65.045	-39.977	3.76	0	0	0	0	9	55	-123.179	-0.301	2.882	0	0	0	0	10	55	5.255495E+27	-3.902773E+28	-5.050006E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963856	72963865	72963865
63	0	0	4	55	-73.018	-17.134	0.656	0	0	0	0	5	55	-66.046	-32.073	6.175	0	0	0	0	6	55	-69.078	-23.964	10.302	0	0	0	0	7	55	-73.864	-24.437	-5.926	0	0	0	0	8	55	-65.434	-40.159	3.703	0	0	0	0	9	55	-123.188	-0.931	2.954	0	0	0	0	10	55	5.33701E+27	-3.925303E+28	-5.031655E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963872	72963881	72963881
80	0	0	4	55	-73.149	-17.538	1.251	0	0	0	0	5	55	-67.377	-33.257	5.404	0	0	0	0	6	55	-69.9	-23.773	10.082	0	0	0	0	7	55	-73.776	-24.626	-5.682	0	0	0	0	8	55	-65.695	-40.283	3.926	0	0	0	0	9	55	-122.5	-1.098	3.666	0	0	0	0	10	55	5.281955E+27	-3.938851E+28	-5.021639E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963889	72963898	0
80	0	0	4	55	-73.149	-17.538	1.251	0	0	0	0	5	55	-67.377	-33.257	5.404	0	0	0	0	6	55	-69.9	-23.773	10.082	0	0	0	0	7	55	-73.776	-24.626	-5.682	0	0	0	0	8	55	-65.695	-40.283	3.927	0	0	0	0	9	55	-122.5	-1.098	3.666	0	0	0	0	10	55	5.281943E+27	-3.938851E+28	-5.021639E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963889	72963899	72963899
96	0	0	4	55	-73.415	-17.628	1.549	0	0	0	0	5	55	-67.085	-32.334	6.079	0	0	0	0	6	55	-70.348	-23.408	10.251	0	0	0	0	7	55	-74.126	-24.488	-5.492	0	0	0	0	8	55	-65.822	-40.227	4.235	0	0	0	0	9	55	-122.46	-1.032	3.23	0	0	0	0	10	55	5.306501E+27	-3.958603E+28	-5.005824E+28	0	0	0	0	1	0	-63.479	-8.355	0.029	5	5	5	1	2	0	-63.479	-8.355	0.029	5	5	5	1	0	0	-69.989	0.79	2.532	0	0	0	0	72963904	72963914	0
