timestamp	Placeholder1	Placeholder2	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Landmark	Placeholder	X	Y	Z	Placeholder	Placeholder	Placeholder	Placeholder	UnityStreamerTimestamp	BufferTimestamp	RenderedTimestamp
15	0	0	4	55	-88.147	-20.282	5.424	0	0	0	0	5	55	-84.477	-27.94	2.28	0	0	0	0	6	55	-88.148	-22.094	17.375	0	0	0	0	7	55	-90.322	-28.305	-6.738	0	0	0	0	8	55	-77.84	-33.138	3.572	0	0	0	0	9	55	-126.283	7.248	2.66	0	0	0	0	10	55	3.514145E+28	3.293359E+28	-4.220778E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846893	57846901	0
16	0	0	4	55	-88.147	-20.282	5.424	0	0	0	0	5	55	-84.477	-27.941	2.28	0	0	0	0	6	55	-88.148	-22.094	17.375	0	0	0	0	7	55	-90.322	-28.305	-6.738	0	0	0	0	8	55	-77.84	-33.138	3.572	0	0	0	0	9	55	-126.283	7.248	2.66	0	0	0	0	10	55	3.514146E+28	3.293359E+28	-4.220778E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846893	57846902	57846902
32	0	0	4	55	-87.427	-17.07	3.197	0	0	0	0	5	55	-84.544	-27.042	-0.902	0	0	0	0	6	55	-87.742	-19.975	16.643	0	0	0	0	7	55	-88.092	-26.004	-7.648	0	0	0	0	8	55	-77.93	-31.827	4.365	0	0	0	0	9	55	-127.07	6.462	3.364	0	0	0	0	10	55	3.521995E+28	3.280119E+28	-4.224544E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846909	57846918	0
32	0	0	4	55	-87.427	-17.07	3.197	0	0	0	0	5	55	-84.544	-27.042	-0.902	0	0	0	0	6	55	-87.742	-19.975	16.643	0	0	0	0	7	55	-88.092	-26.004	-7.648	0	0	0	0	8	55	-77.93	-31.827	4.365	0	0	0	0	9	55	-127.07	6.462	3.364	0	0	0	0	10	55	3.521996E+28	3.280118E+28	-4.224544E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846909	57846918	57846918
49	0	0	4	55	-87.301	-16.993	3.63	0	0	0	0	5	55	-83.065	-23.948	2.817	0	0	0	0	6	55	-87.224	-18.288	16.285	0	0	0	0	7	55	-89.953	-25.763	-7.82	0	0	0	0	8	55	-77.27	-29.739	3.823	0	0	0	0	9	55	-128.722	6.024	3.45	0	0	0	0	10	55	3.529922E+28	3.283688E+28	-4.215145E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846926	57846935	57846935
65	0	0	4	55	-86.284	-15.038	3.397	0	0	0	0	5	55	-82.458	-23.386	1.198	0	0	0	0	6	55	-86.609	-18.401	16.232	0	0	0	0	7	55	-87.985	-24.27	-8.535	0	0	0	0	8	55	-76.735	-28.128	2.778	0	0	0	0	9	55	-128.891	5.882	3.504	0	0	0	0	10	55	3.534143E+28	3.274171E+28	-4.219009E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846943	57846951	0
65	0	0	4	55	-86.284	-15.038	3.397	0	0	0	0	5	55	-82.458	-23.386	1.198	0	0	0	0	6	55	-86.609	-18.401	16.232	0	0	0	0	7	55	-87.985	-24.27	-8.535	0	0	0	0	8	55	-76.735	-28.128	2.778	0	0	0	0	9	55	-128.891	5.882	3.504	0	0	0	0	10	55	3.534144E+28	3.27417E+28	-4.219009E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846943	57846951	57846951
82	0	0	4	55	-85.698	-14.758	2.803	0	0	0	0	5	55	-81.535	-21.322	1.643	0	0	0	0	6	55	-86.454	-17.552	16.318	0	0	0	0	7	55	-88.346	-22.534	-7.964	0	0	0	0	8	55	-75.09	-26.392	2.751	0	0	0	0	9	55	-128.552	5.873	4.034	0	0	0	0	10	55	3.541991E+28	3.261397E+28	-4.222321E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846959	57846968	0
82	0	0	4	55	-85.698	-14.758	2.803	0	0	0	0	5	55	-81.535	-21.322	1.643	0	0	0	0	6	55	-86.454	-17.552	16.318	0	0	0	0	7	55	-88.346	-22.534	-7.964	0	0	0	0	8	55	-75.09	-26.392	2.751	0	0	0	0	9	55	-128.552	5.873	4.034	0	0	0	0	10	55	3.541992E+28	3.261395E+28	-4.222321E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846959	57846968	57846968
99	0	0	4	55	-85.778	-12.116	1.693	0	0	0	0	5	55	-80.232	-19.847	1.816	0	0	0	0	6	55	-85.508	-17.093	15.625	0	0	0	0	7	55	-86.402	-21.109	-9.28	0	0	0	0	8	55	-73.75	-25.204	3.009	0	0	0	0	9	55	-128.76	5.687	3.795	0	0	0	0	10	55	3.554938E+28	3.253666E+28	-4.217401E+28	0	0	0	0	1	0	-68.693	-9.041	0.031	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-82.885	2.79	0.298	0	0	0	0	57846975	57846985	57846985
