timestamp	Placeholder1	Placeholder2	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Landmark	Placeholder	X	Y	Z	Placeholder	Placeholder	Placeholder	Placeholder	UnityStreamerTimestamp	BufferTimestamp	RenderedTimestamp
28	0	0	4	55	-89.972	1.868	0.266	0	0	0	0	5	55	-80.524	-12.903	4.802	0	0	0	0	6	55	-89.096	-9.552	13.322	0	0	0	0	7	55	-87.598	-9.598	-11.91	0	0	0	0	8	55	-80.156	-24.22	0.163	0	0	0	0	9	55	-189.858	-4.438	2.04	0	0	0	0	10	55	2.401193E+28	-4.599699E+28	-3.753324E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618362	74618445	0
32	0	0	4	55	-89.972	1.868	0.266	0	0	0	0	5	55	-80.524	-12.903	4.802	0	0	0	0	6	55	-89.096	-9.552	13.322	0	0	0	0	7	55	-87.598	-9.598	-11.91	0	0	0	0	8	55	-80.156	-24.22	0.163	0	0	0	0	9	55	-189.858	-4.438	2.04	0	0	0	0	10	55	2.401193E+28	-4.599699E+28	-3.753322E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618362	74618449	0
39	0	0	4	55	-89.972	1.868	0.266	0	0	0	0	5	55	-80.524	-12.903	4.802	0	0	0	0	6	55	-89.096	-9.552	13.322	0	0	0	0	7	55	-87.598	-9.598	-11.91	0	0	0	0	8	55	-80.156	-24.22	0.163	0	0	0	0	9	55	-189.858	-4.438	2.04	0	0	0	0	10	55	2.401193E+28	-4.599699E+28	-3.753323E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618363	74618456	74618456
47	0	0	4	55	-90.171	1.874	0.421	0	0	0	0	5	55	-80.725	-12.872	4.812	0	0	0	0	6	55	-89.242	-9.562	13.385	0	0	0	0	7	55	-86.149	-13.374	-13.766	0	0	0	0	8	55	-80.282	-24.297	0.193	0	0	0	0	9	55	-189.87	-4.462	2.217	0	0	0	0	10	55	2.394913E+28	-4.599789E+28	-3.757223E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618364	74618464	0
51	0	0	4	55	-90.171	1.874	0.421	0	0	0	0	5	55	-80.725	-12.872	4.812	0	0	0	0	6	55	-89.242	-9.562	13.385	0	0	0	0	7	55	-86.149	-13.374	-13.766	0	0	0	0	8	55	-80.282	-24.297	0.193	0	0	0	0	9	55	-189.87	-4.462	2.217	0	0	0	0	10	55	2.394914E+28	-4.599789E+28	-3.757222E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618364	74618468	74618468
63	0	0	4	55	-90.21	1.836	0.557	0	0	0	0	5	55	-80.754	-12.849	5.18	0	0	0	0	6	55	-89.517	-9.616	13.483	0	0	0	0	7	55	-88.469	-8.111	-10.998	0	0	0	0	8	55	-80.411	-24.351	0.346	0	0	0	0	9	55	-190.361	-4.312	1.986	0	0	0	0	10	55	2.393286E+28	-4.600171E+28	-3.757792E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618381	74618480	74618480
79	0	0	4	55	-90.641	1.676	0.621	0	0	0	0	5	55	-80.89	-12.419	5.218	0	0	0	0	6	55	-89.737	-9.517	13.577	0	0	0	0	7	55	-88.374	-9.269	-11.451	0	0	0	0	8	55	-80.582	-24.323	0.048	0	0	0	0	9	55	-190.638	-4.4	2.127	0	0	0	0	10	55	2.387296E+28	-4.604351E+28	-3.756483E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618387	74618496	0
82	0	0	4	55	-90.641	1.676	0.621	0	0	0	0	5	55	-80.89	-12.419	5.218	0	0	0	0	6	55	-89.737	-9.517	13.577	0	0	0	0	7	55	-88.374	-9.269	-11.451	0	0	0	0	8	55	-80.582	-24.323	0.048	0	0	0	0	9	55	-190.638	-4.4	2.127	0	0	0	0	10	55	2.387296E+28	-4.604351E+28	-3.756484E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618387	74618499	74618499
98	0	0	4	55	-90.641	1.676	0.621	0	0	0	0	5	55	-80.89	-12.419	5.218	0	0	0	0	6	55	-89.737	-9.517	13.577	0	0	0	0	7	55	-88.374	-9.269	-11.451	0	0	0	0	8	55	-80.582	-24.323	0.048	0	0	0	0	9	55	-190.638	-4.4	2.127	0	0	0	0	10	55	2.387295E+28	-4.604352E+28	-3.756482E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618391	74618515	0
103	0	0	4	55	-90.641	1.676	0.621	0	0	0	0	5	55	-80.89	-12.419	5.218	0	0	0	0	6	55	-89.737	-9.517	13.577	0	0	0	0	7	55	-88.374	-9.269	-11.451	0	0	0	0	8	55	-80.582	-24.323	0.048	0	0	0	0	9	55	-190.638	-4.4	2.127	0	0	0	0	10	55	2.387296E+28	-4.604351E+28	-3.756483E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618392	74618520	74618520
112	0	0	4	55	-91.462	1.604	0.951	0	0	0	0	5	55	-81.343	-12.154	5.394	0	0	0	0	6	55	-90.494	-9.493	13.652	0	0	0	0	7	55	-89.537	-9.214	-11.778	0	0	0	0	8	55	-81.103	-24.3	0.174	0	0	0	0	9	55	-191.505	-5.139	2.473	0	0	0	0	10	55	2.380803E+28	-4.60897E+28	-3.754939E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618404	74618529	74618529
130	0	0	4	55	-91.462	1.604	0.951	0	0	0	0	5	55	-81.343	-12.154	5.394	0	0	0	0	6	55	-90.494	-9.493	13.652	0	0	0	0	7	55	-89.537	-9.214	-11.778	0	0	0	0	8	55	-81.103	-24.3	0.174	0	0	0	0	9	55	-191.505	-5.139	2.473	0	0	0	0	10	55	2.380803E+28	-4.60897E+28	-3.754939E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618405	74618547	0
135	0	0	4	55	-91.462	1.604	0.951	0	0	0	0	5	55	-81.343	-12.154	5.394	0	0	0	0	6	55	-90.494	-9.493	13.652	0	0	0	0	7	55	-89.537	-9.214	-11.778	0	0	0	0	8	55	-81.103	-24.3	0.174	0	0	0	0	9	55	-191.505	-5.139	2.473	0	0	0	0	10	55	2.380803E+28	-4.60897E+28	-3.75494E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618406	74618552	74618552
146	0	0	4	55	-91.462	1.604	0.951	0	0	0	0	5	55	-81.343	-12.154	5.394	0	0	0	0	6	55	-90.494	-9.493	13.652	0	0	0	0	7	55	-89.537	-9.214	-11.778	0	0	0	0	8	55	-81.103	-24.3	0.174	0	0	0	0	9	55	-191.505	-5.139	2.473	0	0	0	0	10	55	2.380803E+28	-4.60897E+28	-3.75494E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618408	74618563	0
152	0	0	4	55	-91.462	1.604	0.951	0	0	0	0	5	55	-81.343	-12.154	5.394	0	0	0	0	6	55	-90.494	-9.493	13.652	0	0	0	0	7	55	-89.537	-9.214	-11.778	0	0	0	0	8	55	-81.103	-24.3	0.174	0	0	0	0	9	55	-191.505	-5.139	2.473	0	0	0	0	10	55	2.380803E+28	-4.60897E+28	-3.75494E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618409	74618569	74618569
164	0	0	4	55	-92.48	1.496	0.993	0	0	0	0	5	55	-82.045	-12.428	5.239	0	0	0	0	6	55	-91.278	-9.414	13.762	0	0	0	0	7	55	-90.687	-9.154	-12.076	0	0	0	0	8	55	-81.673	-24.061	0.312	0	0	0	0	9	55	-193.124	-5.474	2.13	0	0	0	0	10	55	2.378143E+28	-4.610358E+28	-3.754921E+28	0	0	0	0	1	0	-93.578	-12.317	0.042	6	6	6	1	2	0	-93.578	-12.317	0.042	5	5	5	1	0	0	-93.578	-12.317	0.042	0	0	0	0	74618427	74618581	74618581
