timestamp	Placeholder1	Placeholder2	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Landmark	Placeholder	X	Y	Z	Placeholder	Placeholder	Placeholder	Placeholder	UnityStreamerTimestamp	BufferTimestamp	RenderedTimestamp
15	0	0	4	55	-99.5	-18.625	3.321	0	0	0	0	5	55	-92.547	-26.13	2.831	0	0	0	0	6	55	-95.323	-20.587	17.313	0	0	0	0	7	55	-99.471	-27.126	-7.085	0	0	0	0	8	55	-87.473	-33.168	8.963	0	0	0	0	9	55	-143.445	-6.118	6.389	0	0	0	0	10	55	2.432679E+28	4.702351E+28	-3.602827E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905524	57905535	0
16	0	0	4	55	-99.5	-18.625	3.321	0	0	0	0	5	55	-92.547	-26.13	2.831	0	0	0	0	6	55	-95.323	-20.587	17.313	0	0	0	0	7	55	-99.471	-27.126	-7.085	0	0	0	0	8	55	-87.473	-33.168	8.963	0	0	0	0	9	55	-143.445	-6.118	6.389	0	0	0	0	10	55	2.432679E+28	4.702352E+28	-3.602827E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905524	57905535	57905535
32	0	0	4	55	-99.532	-18.516	3.456	0	0	0	0	5	55	-92.649	-26.028	3.049	0	0	0	0	6	55	-95.318	-20.482	17.447	0	0	0	0	7	55	-99.515	-27.017	-6.935	0	0	0	0	8	55	-87.54	-33.045	9.019	0	0	0	0	9	55	-143.652	-5.853	6.828	0	0	0	0	10	55	2.435806E+28	4.691894E+28	-3.61433E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905543	57905551	0
32	0	0	4	55	-99.532	-18.516	3.456	0	0	0	0	5	55	-92.649	-26.028	3.049	0	0	0	0	6	55	-95.318	-20.482	17.447	0	0	0	0	7	55	-99.515	-27.017	-6.935	0	0	0	0	8	55	-87.54	-33.045	9.019	0	0	0	0	9	55	-143.652	-5.853	6.828	0	0	0	0	10	55	2.435806E+28	4.691894E+28	-3.614329E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905544	57905552	57905552
48	0	0	4	55	-99.572	-18.357	3.369	0	0	0	0	5	55	-92.626	-25.939	3.109	0	0	0	0	6	55	-95.244	-20.476	17.528	0	0	0	0	7	55	-99.415	-26.843	-6.937	0	0	0	0	8	55	-87.525	-32.939	8.904	0	0	0	0	9	55	-143.615	-5.795	6.876	0	0	0	0	10	55	2.43773E+28	4.69265E+28	-3.612051E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905559	57905568	0
49	0	0	4	55	-99.572	-18.357	3.369	0	0	0	0	5	55	-92.626	-25.939	3.109	0	0	0	0	6	55	-95.244	-20.476	17.528	0	0	0	0	7	55	-99.415	-26.843	-6.937	0	0	0	0	8	55	-87.525	-32.939	8.904	0	0	0	0	9	55	-143.615	-5.795	6.876	0	0	0	0	10	55	2.437731E+28	4.692648E+28	-3.612053E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905559	57905568	57905568
65	0	0	4	55	-99.624	-18.362	3.463	0	0	0	0	5	55	-92.541	-25.859	3.307	0	0	0	0	6	55	-95.173	-20.364	17.662	0	0	0	0	7	55	-99.362	-26.621	-6.725	0	0	0	0	8	55	-87.524	-32.735	8.939	0	0	0	0	9	55	-143.605	-5.608	7.019	0	0	0	0	10	55	2.437295E+28	4.683884E+28	-3.623704E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905576	57905585	57905585
82	0	0	4	55	-99.585	-18.625	3.175	0	0	0	0	5	55	-92.466	-25.999	3.041	0	0	0	0	6	55	-95.095	-20.67	17.441	0	0	0	0	7	55	-99.211	-26.881	-6.998	0	0	0	0	8	55	-87.417	-32.949	8.67	0	0	0	0	9	55	-143.431	-5.961	6.657	0	0	0	0	10	55	2.430495E+28	4.696048E+28	-3.61251E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905593	57905602	0
82	0	0	4	55	-99.585	-18.625	3.175	0	0	0	0	5	55	-92.466	-25.999	3.041	0	0	0	0	6	55	-95.095	-20.67	17.441	0	0	0	0	7	55	-99.211	-26.881	-6.998	0	0	0	0	8	55	-87.417	-32.949	8.67	0	0	0	0	9	55	-143.431	-5.961	6.657	0	0	0	0	10	55	2.430495E+28	4.696049E+28	-3.612509E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905593	57905602	57905602
99	0	0	4	55	-99.57	-18.887	3.012	0	0	0	0	5	55	-92.402	-26.22	2.95	0	0	0	0	6	55	-95.124	-20.871	17.404	0	0	0	0	7	55	-99.124	-27.058	-7.147	0	0	0	0	8	55	-87.387	-33.194	8.499	0	0	0	0	9	55	-143.377	-6.249	6.507	0	0	0	0	10	55	2.422533E+28	4.70199E+28	-3.610127E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905610	57905618	0
99	0	0	4	55	-99.57	-18.887	3.012	0	0	0	0	5	55	-92.402	-26.22	2.95	0	0	0	0	6	55	-95.124	-20.871	17.404	0	0	0	0	7	55	-99.124	-27.058	-7.147	0	0	0	0	8	55	-87.387	-33.194	8.499	0	0	0	0	9	55	-143.377	-6.249	6.507	0	0	0	0	10	55	2.422534E+28	4.701989E+28	-3.610128E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905610	57905618	57905618
115	0	0	4	55	-99.621	-18.523	3.325	0	0	0	0	5	55	-92.407	-25.902	3.209	0	0	0	0	6	55	-95.225	-20.498	17.681	0	0	0	0	7	55	-99.177	-26.714	-6.909	0	0	0	0	8	55	-87.407	-32.863	8.647	0	0	0	0	9	55	-143.205	-5.712	6.701	0	0	0	0	10	55	2.426046E+28	4.696823E+28	-3.614493E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905625	57905635	57905635
132	0	0	4	55	-99.543	-18.981	3.023	0	0	0	0	5	55	-92.328	-26.375	3.014	0	0	0	0	6	55	-95.262	-20.897	17.382	0	0	0	0	7	55	-99.11	-27.143	-7.24	0	0	0	0	8	55	-87.27	-33.281	8.41	0	0	0	0	9	55	-143.346	-6.369	6.338	0	0	0	0	10	55	2.412736E+28	4.7089E+28	-3.607682E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905643	57905651	0
132	0	0	4	55	-99.543	-18.981	3.023	0	0	0	0	5	55	-92.328	-26.375	3.014	0	0	0	0	6	55	-95.262	-20.897	17.381	0	0	0	0	7	55	-99.11	-27.143	-7.24	0	0	0	0	8	55	-87.27	-33.281	8.41	0	0	0	0	9	55	-143.346	-6.369	6.338	0	0	0	0	10	55	2.412736E+28	4.7089E+28	-3.607683E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905643	57905651	57905652
149	0	0	4	55	-99.45	-18.697	3.229	0	0	0	0	5	55	-92.279	-26.049	3.25	0	0	0	0	6	55	-95.209	-20.564	17.474	0	0	0	0	7	55	-99.113	-26.791	-7.085	0	0	0	0	8	55	-87.248	-32.952	8.703	0	0	0	0	9	55	-143.339	-5.873	6.531	0	0	0	0	10	55	2.423204E+28	4.692497E+28	-3.622009E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905660	57905668	0
149	0	0	4	55	-99.45	-18.697	3.229	0	0	0	0	5	55	-92.279	-26.049	3.25	0	0	0	0	6	55	-95.209	-20.564	17.474	0	0	0	0	7	55	-99.113	-26.791	-7.085	0	0	0	0	8	55	-87.248	-32.952	8.703	0	0	0	0	9	55	-143.339	-5.873	6.531	0	0	0	0	10	55	2.423203E+28	4.692498E+28	-3.622009E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905660	57905668	57905668
165	0	0	4	55	-99.37	-18.981	3.089	0	0	0	0	5	55	-92.253	-26.439	3.089	0	0	0	0	6	55	-95.227	-20.893	17.364	0	0	0	0	7	55	-98.994	-27.198	-7.361	0	0	0	0	8	55	-87.179	-33.293	8.603	0	0	0	0	9	55	-143.426	-6.343	6.367	0	0	0	0	10	55	2.413971E+28	4.700344E+28	-3.617999E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905675	57905685	57905685
182	0	0	4	55	-99.336	-18.853	3.188	0	0	0	0	5	55	-92.322	-26.302	3.181	0	0	0	0	6	55	-95.29	-20.73	17.438	0	0	0	0	7	55	-99.069	-27.044	-7.287	0	0	0	0	8	55	-87.214	-33.174	8.711	0	0	0	0	9	55	-143.465	-6.117	6.572	0	0	0	0	10	55	2.41723E+28	4.69662E+28	-3.620657E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905693	57905701	0
182	0	0	4	55	-99.336	-18.853	3.188	0	0	0	0	5	55	-92.322	-26.302	3.181	0	0	0	0	6	55	-95.29	-20.73	17.438	0	0	0	0	7	55	-99.069	-27.044	-7.287	0	0	0	0	8	55	-87.214	-33.174	8.711	0	0	0	0	9	55	-143.465	-6.117	6.572	0	0	0	0	10	55	2.41723E+28	4.696621E+28	-3.620658E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905693	57905701	57905701
199	0	0	4	55	-99.202	-18.45	3.145	0	0	0	0	5	55	-92.3	-25.911	3.048	0	0	0	0	6	55	-95.124	-20.472	17.383	0	0	0	0	7	55	-99.115	-26.841	-7.418	0	0	0	0	8	55	-87.151	-32.808	8.706	0	0	0	0	9	55	-143.246	-5.636	6.573	0	0	0	0	10	55	2.427967E+28	4.686075E+28	-3.627132E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905710	57905718	0
199	0	0	4	55	-99.202	-18.45	3.145	0	0	0	0	5	55	-92.301	-25.911	3.048	0	0	0	0	6	55	-95.124	-20.472	17.383	0	0	0	0	7	55	-99.115	-26.841	-7.418	0	0	0	0	8	55	-87.151	-32.808	8.706	0	0	0	0	9	55	-143.246	-5.636	6.573	0	0	0	0	10	55	2.427966E+28	4.686076E+28	-3.627132E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905710	57905718	57905719
215	0	0	4	55	-99.123	-18.26	3.236	0	0	0	0	5	55	-92.37	-25.883	2.638	0	0	0	0	6	55	-95.028	-20.602	17.227	0	0	0	0	7	55	-99.162	-26.949	-7.642	0	0	0	0	8	55	-87.125	-32.867	8.534	0	0	0	0	9	55	-143.291	-5.883	6.378	0	0	0	0	10	55	2.423751E+28	4.685377E+28	-3.63085E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905726	57905735	57905735
232	0	0	4	55	-99.081	-18.504	2.813	0	0	0	0	5	55	-92.392	-25.652	2.433	0	0	0	0	6	55	-94.97	-20.568	17.279	0	0	0	0	7	55	-98.75	-26.851	-7.208	0	0	0	0	8	55	-86.864	-31.908	7.518	0	0	0	0	9	55	-143.182	-5.777	6.442	0	0	0	0	10	55	2.42676E+28	4.685292E+28	-3.628949E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905743	57905751	0
232	0	0	4	55	-99.081	-18.504	2.813	0	0	0	0	5	55	-92.392	-25.652	2.433	0	0	0	0	6	55	-94.97	-20.568	17.279	0	0	0	0	7	55	-98.75	-26.851	-7.208	0	0	0	0	8	55	-86.864	-31.908	7.518	0	0	0	0	9	55	-143.182	-5.777	6.442	0	0	0	0	10	55	2.426761E+28	4.685292E+28	-3.628949E+28	0	0	0	0	1	0	-82.885	2.79	0.298	5	5	5	1	2	0	-68.693	-9.041	0.031	5	5	5	1	0	0	-80.145	-5.017	2.942	0	0	0	0	57905743	57905752	57905752
