timestamp	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Landmark Number	X	Y	Z
9	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.514413356781	-113.493371009827	-25.7943391799927	4	0	0	0	0	9.27886962890625	-103.259217739105	-39.2149209976196	5	0	0	0	0	20.8078861236572	-106.230175495148	-35.0611925125122	6	0	0	0	0	-4.72641065716743	-103.937339782715	-31.1741232872009	7	0	0	0	0	11.2843751907349	-99.2098391056061	-47.1735715866089	8	0	0	0	0	20.0782537460327	-203.289389610291	-10.2469682693481	10	0	0	0	0	7.26513862609863	-84.0584293007851	-24.867457151413	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
11	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.6567850112915	-113.620567321777	-26.0730385780334	4	0	0	0	0	9.12704467773438	-103.225100040436	-39.3996000289917	5	0	0	0	0	20.9940910339355	-106.23836517334	-35.3037595748901	6	0	0	0	0	-4.847801476717	-103.729557991028	-31.243371963501	7	0	0	0	0	11.2946748733521	-99.1198122501373	-47.3365783691406	8	0	0	0	0	20.10897397995	-203.324627876282	-10.5206251144409	10	0	0	0	0	6.4482569694519	-83.8176310062408	-25.0831067562103	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
33	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.5002155303955	-113.5178565979	-26.3038635253906	4	0	0	0	0	9.18406248092651	-103.207302093506	-39.5125389099121	5	0	0	0	0	20.7370162010193	-106.170535087585	-35.3659152984619	6	0	0	0	0	-5.04580810666084	-103.661179542542	-31.570291519165	7	0	0	0	0	11.2246036529541	-98.7416982650757	-47.5359201431274	8	0	0	0	0	19.84783411026	-203.401041030884	-10.884952545166	10	0	0	0	0	6.68634176254272	-84.1770216822624	-25.1171052455902	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
71	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.3552570343018	-113.236212730408	-26.2104988098145	4	0	0	0	0	8.84448289871216	-102.634310722351	-39.7822618484497	5	0	0	0	0	20.606791973114	-105.889308452606	-35.3704214096069	6	0	0	0	0	-5.09412363171577	-103.421545028687	-31.6822052001953	7	0	0	0	0	10.9274983406067	-98.523336648941	-47.5008487701416	8	0	0	0	0	19.7001814842224	-203.19561958313	-10.7357978820801	10	0	0	0	0	6.64553642272949	-84.0439021587372	-25.1924753189087	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
73	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.6450309753418	-113.217377662659	-25.5977869033813	4	0	0	0	0	9.03774499893188	-102.711498737335	-39.2612099647522	5	0	0	0	0	20.7584619522095	-105.892276763916	-34.8726034164429	6	0	0	0	0	-4.92355898022652	-103.510165214539	-31.1190485954285	7	0	0	0	0	11.2765431404114	-98.6164450645447	-47.1707820892334	8	0	0	0	0	20.2868819236755	-202.968692779541	-9.83060598373413	10	0	0	0	0	6.82778358459473	-84.1005772352219	-24.7780084609985	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
79	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.2892866134644	-113.014841079712	-26.1682510375977	4	0	0	0	0	8.7220311164856	-102.40159034729	-39.8101091384888	5	0	0	0	0	20.3679203987122	-105.685842037201	-35.3485584259033	6	0	0	0	0	-5.15801981091499	-103.274083137512	-31.7586779594421	7	0	0	0	0	10.9547019004822	-98.3653604984283	-47.7604866027832	8	0	0	0	0	19.5239543914795	-203.057861328125	-10.6166005134583	10	0	0	0	0	6.63340091705322	-83.9475035667419	-25.2778947353363	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
110	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.4785194396973	-112.857484817505	-25.7582664489746	4	0	0	0	0	8.87112617492676	-102.373695373535	-39.4428253173828	5	0	0	0	0	20.4453825950623	-105.59298992157	-35.0185513496399	6	0	0	0	0	-5.06720617413521	-103.088665008545	-31.3098907470703	7	0	0	0	0	10.9601497650146	-98.3963251113892	-47.4600911140442	8	0	0	0	0	19.9401140213013	-202.848267555237	-9.97819900512695	10	0	0	0	0	6.72236680984497	-83.9922025799751	-24.9438405036926	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
118	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.3760471343994	-112.757778167725	-25.847065448761	4	0	0	0	0	8.730149269104	-102.446889877319	-39.4561171531677	5	0	0	0	0	20.444917678833	-105.484354496002	-35.1881265640259	6	0	0	0	0	-5.1729328930378	-103.122079372406	-31.3808083534241	7	0	0	0	0	10.8595728874207	-98.3454704284668	-47.6487159729004	8	0	0	0	0	19.7840571403503	-202.865266799927	-10.1027488708496	10	0	0	0	0	6.70583248138428	-84.0124905109406	-25.0112414360046	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
148	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.5927696228027	-112.603569030762	-25.655460357666	4	0	0	0	0	8.77026319503784	-102.471375465393	-39.4422292709351	5	0	0	0	0	20.6024169921875	-105.527281761169	-35.0240230560303	6	0	0	0	0	-4.88772466778755	-103.323137760162	-31.2595844268799	7	0	0	0	0	10.7998371124268	-98.5824048519135	-47.4263191223145	8	0	0	0	0	20.1161861419678	-202.758860588074	-9.66304540634155	10	0	0	0	0	6.8334698677063	-84.0738281607628	-24.8166084289551	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
150	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	11.5927696228027	-112.603569030762	-25.655460357666	4	0	0	0	0	8.77026319503784	-102.471375465393	-39.4422292709351	5	0	0	0	0	20.6024169921875	-105.527281761169	-35.0240230560303	6	0	0	0	0	-4.88772466778755	-103.323125839233	-31.2595963478088	7	0	0	0	0	10.7998371124268	-98.582398891449	-47.4263191223145	8	0	0	0	0	20.1161742210388	-202.758860588074	-9.66305732727051	10	0	0	0	0	6.8334698677063	-84.0738236904144	-24.8166143894196	0	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
