timestamp	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Landmark Number	X	Y	Z
10	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.04641819000244	-84.1838002204895	-9.197998046875	4	0	0	0	0	-0.340831279754639	-81.5122783184052	-26.5097856521606	5	0	0	0	0	9.29547548294067	-83.1515312194824	-18.8889741897583	6	0	0	0	0	-9.34455469250679	-83.8882982730865	-16.4267539978027	7	0	0	0	0	1.6688346862793	-80.2548050880432	-38.9676094055176	8	0	0	0	0	2.78372764587402	-154.73256111145	1.54913663864136	10	0	0	0	0	-3.11935512197585E+28	3.41492508865961E+28	-4.42925546717091E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
11	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.06644535064697	-84.1764330863953	-9.12058353424072	4	0	0	0	0	-0.321006774902344	-81.533682346344	-26.4366984367371	5	0	0	0	0	9.32908058166504	-83.1564843654633	-18.7932729721069	6	0	0	0	0	-9.32841375470161	-84.0469300746918	-16.4635062217712	7	0	0	0	0	1.95375680923462	-80.3842067718506	-38.9737129211426	8	0	0	0	0	2.94264554977417	-154.677677154541	1.55627727508545	10	0	0	0	0	-3.1232414820173E+28	3.40876719655292E+28	-4.43125989038196E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
32	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.07263231277466	-84.3491852283478	-9.07247066497803	4	0	0	0	0	-0.226199626922607	-81.6411912441254	-26.4320850372314	5	0	0	0	0	9.42113399505615	-83.252477645874	-18.7234878540039	6	0	0	0	0	-9.32102277874947	-84.1112017631531	-16.2444591522217	7	0	0	0	0	1.89276933670044	-80.4796755313873	-38.8494372367859	8	0	0	0	0	3.13566923141479	-154.802930355072	1.87307596206665	10	0	0	0	0	-3.13497398018306E+28	3.40286386951445E+28	-4.42751077411642E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
64	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.12620496749878	-84.3407034873962	-8.97592306137085	4	0	0	0	0	-0.287580490112305	-81.6866040229797	-26.4214277267456	5	0	0	0	0	9.38122272491455	-83.2870483398438	-18.6059713363647	6	0	0	0	0	-9.08300951123238	-84.0603291988373	-16.205906867981	7	0	0	0	0	1.88853740692139	-80.6046903133392	-38.6029243469238	8	0	0	0	0	3.29375267028809	-154.836630821228	1.74846649169922	10	0	0	0	0	-3.13139494289788E+28	3.3989675482312E+28	-4.43303262248744E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
65	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.12620496749878	-84.3407034873962	-8.9759349822998	4	0	0	0	0	-0.287580490112305	-81.6866099834442	-26.4214396476746	5	0	0	0	0	9.38122272491455	-83.2870483398438	-18.6059832572937	6	0	0	0	0	-9.08300951123238	-84.0603351593018	-16.2059187889099	7	0	0	0	0	1.88854932785034	-80.6046903133392	-38.6029481887817	8	0	0	0	0	3.29376459121704	-154.836630821228	1.74844264984131	10	0	0	0	0	-3.13139531183276E+28	3.39896791716609E+28	-4.43303225355256E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
98	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.08741426467896	-84.3945920467377	-8.93561840057373	4	0	0	0	0	-0.469410419464111	-81.7695736885071	-26.4405965805054	5	0	0	0	0	9.41740274429321	-83.3345293998718	-18.5311436653137	6	0	0	0	0	-9.14588049054146	-84.1601014137268	-16.1061763763428	7	0	0	0	0	1.9717812538147	-80.6228518486023	-38.718056678772	8	0	0	0	0	3.33302021026611	-154.897809028625	1.89981460571289	10	0	0	0	0	-3.13622688304054E+28	3.39331472797726E+28	-4.43394794992838E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
100	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.08741426467896	-84.3945980072021	-8.93559455871582	4	0	0	0	0	-0.469410419464111	-81.769585609436	-26.4405727386475	5	0	0	0	0	9.41740274429321	-83.3345413208008	-18.5311079025269	6	0	0	0	0	-9.14588049054146	-84.1601133346558	-16.1061525344849	7	0	0	0	0	1.9717812538147	-80.6228697299957	-38.7180328369141	8	0	0	0	0	3.33302021026611	-154.897809028625	1.89986228942871	10	0	0	0	0	-3.13622651410566E+28	3.39331399010749E+28	-4.43394831886326E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
133	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.12891101837158	-84.1800391674042	-8.92744064331055	4	0	0	0	0	-0.999319553375244	-81.5377473831177	-26.733660697937	5	0	0	0	0	9.5616340637207	-83.1841886043549	-18.6353445053101	6	0	0	0	0	-9.24707725644112	-84.0823531150818	-16.2857532501221	7	0	0	0	0	1.98768377304077	-80.2565336227417	-38.7627363204956	8	0	0	0	0	3.16325426101685	-154.863023757935	1.70228481292725	10	0	0	0	0	-3.12328870568213E+28	3.40062775519784E+28	-4.43747570526504E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
135	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.12891101837158	-84.1800510883331	-8.92742872238159	4	0	0	0	0	-0.999307632446289	-81.5377652645111	-26.733660697937	5	0	0	0	0	9.56164598464966	-83.1842005252838	-18.6353445053101	6	0	0	0	0	-9.24707725644112	-84.0823709964752	-16.2857413291931	7	0	0	0	0	1.98768377304077	-80.2565515041351	-38.7627363204956	8	0	0	0	0	3.16327810287476	-154.863035678864	1.70228481292725	10	0	0	0	0	-3.12329018142165E+28	3.40062701732808E+28	-4.43747533633016E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
165	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	2.46214866638184	-84.320467710495	-9.07049179077148	4	0	0	0	0	-0.70195198059082	-81.3616335391998	-26.6821384429932	5	0	0	0	0	9.48781967163086	-83.2344114780426	-18.769645690918	6	0	0	0	0	-9.19503048062325	-84.1917872428894	-16.4582252502441	7	0	0	0	0	1.92164182662964	-80.1546335220337	-38.8633608818054	8	0	0	0	0	3.19808721542358	-155.055928230286	1.46181583404541	10	0	0	0	0	-3.1234783382112E+28	3.41333719292974E+28	-4.42757349304627E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
