timestamp	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Landmark Number	X	Y	Z
9	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.42216682434082	-89.2187118530273	-7.37197399139404	4	0	0	0	0	0.498449802398682	-85.5873823165894	-24.829626083374	5	0	0	0	0	9.99623537063599	-87.0235145092011	-15.7007694244385	6	0	0	0	0	-9.68643501400948	-86.4984571933746	-15.0672078132629	7	0	0	0	0	2.9163122177124	-81.8549454212189	-36.7540836334229	8	0	0	0	0	4.47970628738403	-159.453201293945	1.40774250030518	10	0	0	0	0	-3.08090362182396E+28	3.36776192915147E+28	-4.49183789111538E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
10	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.32162570953369	-89.1240537166595	-7.55054950714111	4	0	0	0	0	0.741779804229736	-85.4763686656952	-24.8061299324036	5	0	0	0	0	9.90273952484131	-87.078332901001	-15.6071662902832	6	0	0	0	0	-9.84766557812691	-86.4049136638641	-15.0931596755981	7	0	0	0	0	2.980637550354	-81.8076729774475	-36.8324995040894	8	0	0	0	0	4.33734655380249	-159.632587432861	1.23419761657715	10	0	0	0	0	-3.07347640925757E+28	3.37435405761365E+28	-4.49197845530522E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
35	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.52276754379272	-89.0139698982239	-7.55214691162109	4	0	0	0	0	0.4081130027771	-85.4924559593201	-24.9116659164429	5	0	0	0	0	9.80892181396484	-86.9170725345612	-15.7585382461548	6	0	0	0	0	-10.1296789944172	-86.237621307373	-15.2839183807373	7	0	0	0	0	2.80734300613403	-81.6089570522308	-36.7953300476074	8	0	0	0	0	4.05371189117432	-159.722089767456	1.07457637786865	10	0	0	0	0	-3.057587859652E+28	3.38148409313302E+28	-4.49745676936023E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
66	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.02609395980835	-88.9305174350739	-7.73460865020752	4	0	0	0	0	0.52255392074585	-85.4196667671204	-24.8010396957397	5	0	0	0	0	9.95298624038696	-87.089204788208	-15.8589601516724	6	0	0	0	0	-10.4004509747028	-86.047351360321	-15.0988459587097	7	0	0	0	0	2.73497104644775	-81.8149626255035	-36.6055011749268	8	0	0	0	0	3.82133722305298	-159.896922111511	1.11095905303955	10	0	0	0	0	-3.05640376314991E+28	3.38274732616719E+28	-4.49731177795181E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
98	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.42618417739868	-89.2071485519409	-7.71597623825073	4	0	0	0	0	0.646734237670898	-86.0712945461273	-25.2971053123474	5	0	0	0	0	9.87955331802368	-87.5437557697296	-16.015625	6	0	0	0	0	-10.047996789217	-86.5474104881287	-15.0707840919495	7	0	0	0	0	3.18403244018555	-82.5920701026917	-36.9555592536926	8	0	0	0	0	4.07108068466187	-160.178089141846	1.2413501739502	10	0	0	0	0	-3.07243767309878E+28	3.37087721529064E+28	-4.49529850030361E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
100	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.42614841461182	-89.2071723937988	-7.71596431732178	4	0	0	0	0	0.646698474884033	-86.0713303089142	-25.2970933914185	5	0	0	0	0	9.87952947616577	-87.543785572052	-16.015625	6	0	0	0	0	-10.0480325520039	-86.5474402904511	-15.0707721710205	7	0	0	0	0	3.18399667739868	-82.592111825943	-36.9555473327637	8	0	0	0	0	4.071044921875	-160.178124904633	1.24137401580811	10	0	0	0	0	-3.07243841096854E+28	3.37087647742088E+28	-4.49529850030361E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
130	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.83049440383911	-89.3852293491364	-8.4277868270874	4	0	0	0	0	0.304520130157471	-86.4140868186951	-26.1950492858887	5	0	0	0	0	10.2811217308044	-87.8237724304199	-16.8026447296143	6	0	0	0	0	-10.1706512272358	-86.6974294185638	-15.4617547988892	7	0	0	0	0	3.55931520462036	-83.2314848899841	-37.638533115387	8	0	0	0	0	4.1439414024353	-160.586810112	0.856304168701172	10	0	0	0	0	-3.07273632588533E+28	3.3837567320029E+28	-4.4854069871964E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
132	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.83049440383911	-89.3852293491364	-8.42779874801636	4	0	0	0	0	0.304520130157471	-86.4140927791595	-26.1950492858887	5	0	0	0	0	10.2811217308044	-87.8237724304199	-16.8026566505432	6	0	0	0	0	-10.1706512272358	-86.6974294185638	-15.4617667198181	7	0	0	0	0	3.55931520462036	-83.2314848899841	-37.6385450363159	8	0	0	0	0	4.14392948150635	-160.586810112	0.856304168701172	10	0	0	0	0	-3.07273614141789E+28	3.38375710093779E+28	-4.4854069871964E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
168	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.89090967178345	-89.7036254405975	-9.01948213577271	4	0	0	0	0	0.348138809204102	-86.9712233543396	-26.8351316452026	5	0	0	0	0	10.3104472160339	-88.1544291973114	-17.4008369445801	6	0	0	0	0	-10.3692777454853	-87.0581865310669	-16.0357356071472	7	0	0	0	0	3.6491870880127	-83.9042365550995	-38.4219884872437	8	0	0	0	0	4.10726070404053	-160.871005058289	0.615251064300537	10	0	0	0	0	-3.0687210231028E+28	3.39164123935489E+28	-4.48219983627175E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
170	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	1.97161436080933	-89.8653388023376	-9.09320116043091	4	0	0	0	0	0.357913970947266	-87.1487259864807	-27.0535707473755	5	0	0	0	0	10.3012919425964	-88.3534789085388	-17.5862550735474	6	0	0	0	0	-10.275162011385	-87.3449742794037	-16.2067413330078	7	0	0	0	0	3.63519191741943	-84.3202352523804	-38.5179400444031	8	0	0	0	0	4.08430099487305	-160.936450958252	0.777912139892578	10	0	0	0	0	-3.06524768566117E+28	3.38801534733976E+28	-4.48731622520803E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
