timestamp	Placeholder1	Placeholder2	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Sensor	Status	X	Y	Z	Qw	Qx	Qy	Qz	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Target	Hit	X	Y	Z	Radius X	Radius Y	Radius Z	MarkerAssociated	Landmark	Placeholder	X	Y	Z	Placeholder	Placeholder	Placeholder	Placeholder	UnityStreamerTimestamp	BufferTimestamp	RenderedTimestamp
16	0	0	4	55	-86.308	-18.205	-0.215	0	0	0	0	5	55	-81.142	-31.357	0.61	0	0	0	0	6	55	-83.17	-25.171	10.819	0	0	0	0	7	55	-83.286	-24.44	-10.121	0	0	0	0	8	55	-72.775	-48.733	-2.786	0	0	0	0	9	55	-151.525	-0.352	1.405	0	0	0	0	10	55	3.639665E+28	-4.148271E+28	-3.24886E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575417	54575426	54575426
32	0	0	4	55	-86.42	-18.317	-0.383	0	0	0	0	5	55	-81.278	-31.276	0.63	0	0	0	0	6	55	-83.212	-25.218	10.634	0	0	0	0	7	55	-83.651	-23.979	-9.941	0	0	0	0	8	55	-72.725	-48.779	-2.768	0	0	0	0	9	55	-151.452	-0.325	1.495	0	0	0	0	10	55	3.642808E+28	-4.146727E+28	-3.247308E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575434	54575442	0
32	0	0	4	55	-86.42	-18.317	-0.383	0	0	0	0	5	55	-81.278	-31.276	0.63	0	0	0	0	6	55	-83.212	-25.218	10.634	0	0	0	0	7	55	-83.651	-23.979	-9.941	0	0	0	0	8	55	-72.725	-48.779	-2.768	0	0	0	0	9	55	-151.452	-0.325	1.495	0	0	0	0	10	55	3.642808E+28	-4.146726E+28	-3.247308E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575434	54575442	54575442
49	0	0	4	55	-86.607	-18.483	-0.438	0	0	0	0	5	55	-81.401	-31.437	0.596	0	0	0	0	6	55	-83.392	-25.208	10.611	0	0	0	0	7	55	-83.767	-24.479	-10.408	0	0	0	0	8	55	-72.666	-48.974	-2.765	0	0	0	0	9	55	-151.504	-0.455	1.419	0	0	0	0	10	55	3.65888E+28	-4.136357E+28	-3.242459E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575450	54575459	0
49	0	0	4	55	-86.607	-18.483	-0.438	0	0	0	0	5	55	-81.401	-31.437	0.596	0	0	0	0	6	55	-83.392	-25.208	10.611	0	0	0	0	7	55	-83.767	-24.479	-10.408	0	0	0	0	8	55	-72.666	-48.974	-2.765	0	0	0	0	9	55	-151.504	-0.455	1.419	0	0	0	0	10	55	3.658879E+28	-4.136358E+28	-3.24246E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575450	54575459	54575459
65	0	0	4	55	-86.547	-18.438	-0.424	0	0	0	0	5	55	-81.329	-31.588	0.599	0	0	0	0	6	55	-83.465	-25.251	10.477	0	0	0	0	7	55	-83.958	-24.093	-10.218	0	0	0	0	8	55	-72.683	-48.972	-2.774	0	0	0	0	9	55	-151.446	-0.577	1.418	0	0	0	0	10	55	3.65917E+28	-4.134655E+28	-3.244304E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575467	54575475	54575475
82	0	0	4	55	-86.563	-18.296	-0.435	0	0	0	0	5	55	-81.221	-31.484	0.601	0	0	0	0	6	55	-83.405	-24.947	10.666	0	0	0	0	7	55	-84.11	-24.417	-10.244	0	0	0	0	8	55	-72.775	-48.863	-2.675	0	0	0	0	9	55	-151.467	-0.406	1.531	0	0	0	0	10	55	3.658997E+28	-4.13781E+28	-3.240473E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575484	54575492	0
82	0	0	4	55	-86.563	-18.296	-0.435	0	0	0	0	5	55	-81.221	-31.484	0.601	0	0	0	0	6	55	-83.405	-24.947	10.666	0	0	0	0	7	55	-84.11	-24.417	-10.244	0	0	0	0	8	55	-72.775	-48.863	-2.675	0	0	0	0	9	55	-151.467	-0.406	1.531	0	0	0	0	10	55	3.658997E+28	-4.13781E+28	-3.240473E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575484	54575492	54575492
98	0	0	4	55	-86.375	-17.918	-0.444	0	0	0	0	5	55	-81.032	-31.101	0.746	0	0	0	0	6	55	-83.362	-24.38	10.682	0	0	0	0	7	55	-83.877	-24.408	-10.356	0	0	0	0	8	55	-72.608	-48.778	-2.695	0	0	0	0	9	55	-151.494	-0.299	1.827	0	0	0	0	10	55	3.656824E+28	-4.135166E+28	-3.246295E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575500	54575508	0
99	0	0	4	55	-86.375	-17.918	-0.444	0	0	0	0	5	55	-81.032	-31.101	0.746	0	0	0	0	6	55	-83.362	-24.38	10.682	0	0	0	0	7	55	-83.877	-24.408	-10.356	0	0	0	0	8	55	-72.608	-48.778	-2.695	0	0	0	0	9	55	-151.494	-0.299	1.827	0	0	0	0	10	55	3.656824E+28	-4.135167E+28	-3.246295E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575501	54575509	54575509
115	0	0	4	55	-86.22	-17.719	-0.569	0	0	0	0	5	55	-80.689	-30.971	0.531	0	0	0	0	6	55	-83.182	-24.148	10.733	0	0	0	0	7	55	-83.752	-23.993	-10.267	0	0	0	0	8	55	-72.529	-48.763	-2.638	0	0	0	0	9	55	-151.434	-0.3	1.904	0	0	0	0	10	55	3.66009E+28	-4.130786E+28	-3.248192E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575517	54575525	54575525
132	0	0	4	55	-86.183	-17.386	-0.573	0	0	0	0	5	55	-80.817	-30.155	0.773	0	0	0	0	6	55	-83.034	-23.598	10.95	0	0	0	0	7	55	-83.789	-23.059	-10.288	0	0	0	0	8	55	-72.487	-48.668	-2.526	0	0	0	0	9	55	-151.618	-0.481	1.936	0	0	0	0	10	55	3.662987E+28	-4.125304E+28	-3.25189E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575534	54575542	0
133	0	0	4	55	-86.183	-17.386	-0.573	0	0	0	0	5	55	-80.817	-30.155	0.773	0	0	0	0	6	55	-83.034	-23.598	10.95	0	0	0	0	7	55	-83.789	-23.059	-10.288	0	0	0	0	8	55	-72.487	-48.668	-2.526	0	0	0	0	9	55	-151.618	-0.481	1.936	0	0	0	0	10	55	3.662987E+28	-4.125304E+28	-3.25189E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575534	54575543	54575543
148	0	0	4	55	-86.216	-17.135	-0.645	0	0	0	0	5	55	-80.845	-29.454	0.826	0	0	0	0	6	55	-82.862	-23.191	11.129	0	0	0	0	7	55	-83.138	-23.187	-10.297	0	0	0	0	8	55	-72.517	-48.372	-2.391	0	0	0	0	9	55	-151.549	-0.539	2.098	0	0	0	0	10	55	3.662582E+28	-4.120684E+28	-3.258198E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575550	54575559	0
149	0	0	4	55	-86.216	-17.135	-0.645	0	0	0	0	5	55	-80.845	-29.454	0.826	0	0	0	0	6	55	-82.862	-23.191	11.129	0	0	0	0	7	55	-83.138	-23.187	-10.297	0	0	0	0	8	55	-72.517	-48.372	-2.391	0	0	0	0	9	55	-151.549	-0.539	2.098	0	0	0	0	10	55	3.662581E+28	-4.120685E+28	-3.258199E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575550	54575559	54575559
165	0	0	4	55	-86.29	-17.026	-0.59	0	0	0	0	5	55	-80.912	-29.14	0.952	0	0	0	0	6	55	-82.779	-22.99	11.287	0	0	0	0	7	55	-83.033	-22.684	-10.103	0	0	0	0	8	55	-72.449	-48.453	-2.146	0	0	0	0	9	55	-151.502	-0.37	2.262	0	0	0	0	10	55	3.658732E+28	-4.120484E+28	-3.262773E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575567	54575575	54575575
182	0	0	4	55	-86.349	-17.164	-0.563	0	0	0	0	5	55	-81.288	-28.896	0.852	0	0	0	0	6	55	-82.768	-23.038	11.286	0	0	0	0	7	55	-82.909	-22.813	-10.102	0	0	0	0	8	55	-72.498	-48.191	-2.331	0	0	0	0	9	55	-151.58	-0.481	2.314	0	0	0	0	10	55	3.664391E+28	-4.11224E+28	-3.26682E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575583	54575592	0
182	0	0	4	55	-86.349	-17.164	-0.563	0	0	0	0	5	55	-81.288	-28.896	0.852	0	0	0	0	6	55	-82.768	-23.038	11.286	0	0	0	0	7	55	-82.909	-22.813	-10.102	0	0	0	0	8	55	-72.498	-48.191	-2.331	0	0	0	0	9	55	-151.58	-0.481	2.314	0	0	0	0	10	55	3.664391E+28	-4.11224E+28	-3.26682E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575583	54575592	54575592
198	0	0	4	55	-86.52	-17.302	-0.429	0	0	0	0	5	55	-81.519	-28.808	0.926	0	0	0	0	6	55	-82.771	-23.083	11.451	0	0	0	0	7	55	-83.189	-22.734	-10.116	0	0	0	0	8	55	-72.606	-48.181	-2.309	0	0	0	0	9	55	-151.8	-0.465	2.426	0	0	0	0	10	55	3.666321E+28	-4.10781E+28	-3.270227E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575600	54575609	0
199	0	0	4	55	-86.52	-17.302	-0.429	0	0	0	0	5	55	-81.519	-28.808	0.926	0	0	0	0	6	55	-82.771	-23.083	11.451	0	0	0	0	7	55	-83.189	-22.734	-10.116	0	0	0	0	8	55	-72.606	-48.181	-2.309	0	0	0	0	9	55	-151.8	-0.465	2.426	0	0	0	0	10	55	3.66632E+28	-4.10781E+28	-3.270228E+28	0	0	0	0	1	0	-79.096	-19.595	0.977	5	5	5	4	2	0	-78.277	-10.303	0.035	5	5	5	1	0	0	-87.203	-5.704	-0.466	0	0	0	0	54575601	54575609	54575609
