timestamp	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Landmark Number	X	Y	Z
9	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.97592687606812	-84.3747675418854	-9.82463359832764	4	0	0	0	0	1.76479816436768	-79.615581035614	-26.7884373664856	5	0	0	0	0	11.3536477088928	-83.2431733608246	-18.3631062507629	6	0	0	0	0	-6.45009353756905	-83.3154320716858	-16.0126447677612	7	0	0	0	0	2.72132158279419	-78.7626147270203	-38.5611653327942	8	0	0	0	0	3.96655797958374	-154.572415351868	-0.30517578125	10	0	0	0	0	-3.2491995399014E+28	3.54285104520149E+28	-4.23099318228061E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
30	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.82354164123535	-84.4482243061066	-10.1513981819153	4	0	0	0	0	2.18348503112793	-79.1311264038086	-27.1037340164185	5	0	0	0	0	11.2181663513184	-83.3614051342011	-18.7228679656982	6	0	0	0	0	-6.49510696530342	-83.3093643188477	-16.4019823074341	7	0	0	0	0	2.72372961044312	-78.872412443161	-38.9098167419434	8	0	0	0	0	3.69758605957031	-154.679155349731	-0.866472721099854	10	0	0	0	0	-3.23276718028054E+28	3.57085726098908E+28	-4.22002290357998E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
34	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.82355356216431	-84.4482243061066	-10.1514101028442	4	0	0	0	0	2.18349695205688	-79.1311264038086	-27.1037340164185	5	0	0	0	0	11.2181663513184	-83.3613991737366	-18.7228798866272	6	0	0	0	0	-6.49510696530342	-83.3093583583832	-16.4019823074341	7	0	0	0	0	2.72372961044312	-78.8724064826965	-38.9098167419434	8	0	0	0	0	3.69758605957031	-154.679155349731	-0.866484642028809	10	0	0	0	0	-3.23276681134566E+28	3.57085726098908E+28	-4.2200225346451E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
63	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.78891134262085	-84.3390464782715	-9.82698202133179	4	0	0	0	0	1.74610614776611	-79.3902218341827	-26.6204953193665	5	0	0	0	0	11.0383868217468	-83.2581877708435	-18.4278607368469	6	0	0	0	0	-6.42876699566841	-83.2370281219482	-16.121518611908	7	0	0	0	0	2.64130830764771	-78.7392199039459	-38.5572671890259	8	0	0	0	0	3.73466014862061	-154.273772239685	-0.414538383483887	10	0	0	0	0	-3.23812448369443E+28	3.5531727363805E+28	-4.2308282683886E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
65	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.78891134262085	-84.3390464782715	-9.82698202133179	4	0	0	0	0	1.74610614776611	-79.3902218341827	-26.6204953193665	5	0	0	0	0	11.0383868217468	-83.2581877708435	-18.4278607368469	6	0	0	0	0	-6.42876699566841	-83.2370281219482	-16.121518611908	7	0	0	0	0	2.64130830764771	-78.7392199039459	-38.5572671890259	8	0	0	0	0	3.73466014862061	-154.273772239685	-0.414538383483887	10	0	0	0	0	-3.23812448369443E+28	3.5531727363805E+28	-4.2308282683886E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
97	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.65927124023438	-84.1105163097382	-9.74135398864746	4	0	0	0	0	1.55431032180786	-79.3151259422302	-26.4541625976563	5	0	0	0	0	11.1336469650269	-83.0680847167969	-18.3262825012207	6	0	0	0	0	-6.56976774334908	-82.8884840011597	-15.9363150596619	7	0	0	0	0	2.58312225341797	-78.6383867263794	-38.5435819625854	8	0	0	0	0	3.56178283691406	-153.771209716797	-0.183486938476563	10	0	0	0	0	-3.23362015772651E+28	3.54277688929032E+28	-4.24297360468673E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
99	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.65925931930542	-84.1105163097382	-9.74135398864746	4	0	0	0	0	1.55429840087891	-79.3151259422302	-26.4541625976563	5	0	0	0	0	11.1336469650269	-83.0680906772614	-18.3262825012207	6	0	0	0	0	-6.56977966427803	-82.8884899616241	-15.9363150596619	7	0	0	0	0	2.58311033248901	-78.6383926868439	-38.5435819625854	8	0	0	0	0	3.56175899505615	-153.771221637726	-0.183486938476563	10	0	0	0	0	-3.23361941985675E+28	3.5427772582252E+28	-4.24297397362161E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
130	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.66508865356445	-84.193742275238	-9.70699787139893	4	0	0	0	0	1.67218446731567	-79.2905032634735	-26.5962839126587	5	0	0	0	0	10.9228491783142	-83.1721127033234	-18.2289123535156	6	0	0	0	0	-6.65386989712715	-82.8424453735352	-15.8158421516418	7	0	0	0	0	2.52072811126709	-78.6932587623596	-38.4782910346985	8	0	0	0	0	3.64840030670166	-153.856229782104	-0.270962715148926	10	0	0	0	0	-3.23022374320766E+28	3.55078757237177E+28	-4.23886293223734E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
134	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.66508865356445	-84.1937363147736	-9.70699787139893	4	0	0	0	0	1.67218446731567	-79.290497303009	-26.5962719917297	5	0	0	0	0	10.9228491783142	-83.1721067428589	-18.2289123535156	6	0	0	0	0	-6.65386989712715	-82.8424334526062	-15.8158421516418	7	0	0	0	0	2.52071619033813	-78.6932528018951	-38.4782910346985	8	0	0	0	0	3.64840030670166	-153.856205940247	-0.270962715148926	10	0	0	0	0	-3.23022448107742E+28	3.550786834502E+28	-4.23886256330246E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
165	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.68378067016602	-84.3363642692566	-9.9374532699585	4	0	0	0	0	1.75967216491699	-79.3544113636017	-26.9549131393433	5	0	0	0	0	11.1484169960022	-83.3800256252289	-18.6214327812195	6	0	0	0	0	-6.61645010113716	-83.0797791481018	-16.1365628242493	7	0	0	0	0	2.75883674621582	-78.7794768810272	-38.8345003128052	8	0	0	0	0	3.63101959228516	-154.155826568604	-0.705194473266602	10	0	0	0	0	-3.2172564199936E+28	3.57314797766815E+28	-4.22992548473363E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
