timestamp	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Landmark Number	X	Y	Z
9	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.33065986633301	-94.0491080284119	-12.3486518859863	4	0	0	0	0	-0.0244379043579102	-88.3576333522797	-26.5580177307129	5	0	0	0	0	11.9498610496521	-91.7022824287415	-19.5491194725037	6	0	0	0	0	-10.5122573673725	-90.9681856632233	-17.8260445594788	7	0	0	0	0	3.70839834213257	-85.3175163269043	-35.7103586196899	8	0	0	0	0	5.64666986465454	-170.153653621674	-5.445396900177	10	0	0	0	0	-3.24693760014308E+28	3.5873383200143E+28	-4.19509212896436E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
11	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.10183763504028	-94.0039336681366	-12.5431537628174	4	0	0	0	0	0.20139217376709	-88.4088277816772	-26.7596244812012	5	0	0	0	0	12.0629549026489	-91.8132781982422	-19.775128364563	6	0	0	0	0	-10.5968959629536	-91.104394197464	-18.0144190788269	7	0	0	0	0	3.8038969039917	-85.4291021823883	-35.8068943023682	8	0	0	0	0	5.59511184692383	-170.140063762665	-5.37765026092529	10	0	0	0	0	-3.24634435285367E+28	3.58793267410835E+28	-4.19504232275536E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
36	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.5577654838562	-94.1741168498993	-13.3311986923218	4	0	0	0	0	0.382590293884277	-88.6903464794159	-27.4777412414551	5	0	0	0	0	12.0456576347351	-92.0392334461212	-20.512318611145	6	0	0	0	0	-10.7407338917255	-91.1232054233551	-18.5978770256042	7	0	0	0	0	3.69980335235596	-85.6367230415344	-36.2287044525146	8	0	0	0	0	5.29060363769531	-170.098030567169	-5.38995265960693	10	0	0	0	0	-3.24587248514027E+28	3.6023956593319E+28	-4.18299549207059E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
47	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.50068807601929	-94.2785143852234	-13.4513378143311	4	0	0	0	0	0.325465202331543	-88.9476835727692	-27.7694702148438	5	0	0	0	0	12.4285817146301	-92.1621322631836	-21.0273027420044	6	0	0	0	0	-10.4782946407795	-91.3512766361237	-18.9966082572937	7	0	0	0	0	4.03451919555664	-85.8900785446167	-36.6929531097412	8	0	0	0	0	5.62237501144409	-170.211482048035	-5.81942796707153	10	0	0	0	0	-3.25444542498108E+28	3.60500439787881E+28	-4.17407759811559E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
63	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	4.00021076202393	-94.3272769451141	-13.8781547546387	4	0	0	0	0	-0.162661075592041	-89.1407251358032	-28.2757997512817	5	0	0	0	0	12.5627636909485	-92.3221290111542	-21.3757038116455	6	0	0	0	0	-10.7457764446735	-91.3176894187927	-18.9448833465576	7	0	0	0	0	3.90660762786865	-86.2171173095703	-36.8851184844971	8	0	0	0	0	5.71123361587524	-170.452857017517	-5.8767557144165	10	0	0	0	0	-3.25429342380991E+28	3.60836318103975E+28	-4.17129250869534E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
94	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.24598550796509	-94.4336712360382	-14.1046524047852	4	0	0	0	0	-0.207626819610596	-89.2048358917236	-28.6519050598145	5	0	0	0	0	12.2253060340881	-92.2620534896851	-21.9460487365723	6	0	0	0	0	-10.7897527515888	-91.5029227733612	-19.5468425750732	7	0	0	0	0	3.72961759567261	-86.3234162330627	-37.3894333839417	8	0	0	0	0	5.29510974884033	-170.425009727478	-5.99035024642944	10	0	0	0	0	-3.24274686882442E+28	3.61471771543826E+28	-4.17478189480433E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
101	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.78552675247192	-94.5136666297913	-14.0918135643005	4	0	0	0	0	-0.573456287384033	-89.3908381462097	-28.892195224762	5	0	0	0	0	12.3861789703369	-92.4342274665833	-22.1660614013672	6	0	0	0	0	-10.7171304523945	-91.669112443924	-19.62730884552	7	0	0	0	0	3.79939079284668	-86.2753093242645	-37.5143766403198	8	0	0	0	0	5.30705451965332	-170.566606521606	-6.11951351165771	10	0	0	0	0	-3.24163084080796E+28	3.62167472049822E+28	-4.16961533072416E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
133	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.59058380126953	-94.3270683288574	-14.1476035118103	4	0	0	0	0	-0.281023979187012	-89.2982363700867	-28.5984516143799	5	0	0	0	0	12.2343182563782	-92.3665940761566	-22.0249891281128	6	0	0	0	0	-11.2164743244648	-91.4482653141022	-19.1731214523315	7	0	0	0	0	3.55668067932129	-86.2639546394348	-37.5198602676392	8	0	0	0	0	5.1175594329834	-170.444583892822	-6.10651969909668	10	0	0	0	0	-3.23978690427035E+28	3.61820968409141E+28	-4.17405509308782E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
135	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.59059572219849	-94.3270623683929	-14.1476154327393	4	0	0	0	0	-0.281023979187012	-89.2982244491577	-28.5984754562378	5	0	0	0	0	12.2343182563782	-92.3665881156921	-22.0250129699707	6	0	0	0	0	-11.2164624035358	-91.4482593536377	-19.1731333732605	7	0	0	0	0	3.55668067932129	-86.2639486789703	-37.5198721885681	8	0	0	0	0	5.11757135391235	-170.444583892822	-6.10653162002563	10	0	0	0	0	-3.23978690427035E+28	3.61821005302629E+28	-4.17405435521806E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
167	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.1233549118042	-94.1134333610535	-13.9196991920471	4	0	0	0	0	-0.684893131256104	-89.3105864524841	-28.4694194793701	5	0	0	0	0	11.9333744049072	-92.2045648097992	-21.842086315155	6	0	0	0	0	-11.1582286655903	-91.455090045929	-19.0365195274353	7	0	0	0	0	3.40368747711182	-86.1635148525238	-37.3986482620239	8	0	0	0	0	4.96604442596436	-170.268893241882	-5.80108165740967	10	0	0	0	0	-3.24464430091984E+28	3.60552865434538E+28	-4.1812485854068E+28	0	0.0	0.0	0.0	1.0	4.62049245834351	-83.1937730312347	-11.0199809074402	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
